collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20,index
Bari1,64,0.14542,0.13256,0.13116,0.1001,0.13106,0.14183,0.12802,0.13899,0.14307,0.12593,0.15314,0.12054,0.13864,0.13988,0.12224,0.12777,0.1192,0.13634,0.14048,0.13889,Bari1
Bari1,65,0.09993,0.11162,0.10354,0.1003,0.09986,0.10871,0.11143,0.09803,0.11518,0.14868,0.11138,0.10361,0.11459,0.11259,0.10102,0.10087,0.10564,0.10376,0.10628,0.1091,Bari1
Bari1,67,0.12555,0.12559,0.12584,0.11178,0.13484,0.13567,0.10194,0.1268,0.13245,0.14739,0.11525,0.12588,0.12915,0.11918,0.12508,0.11889,0.14426,0.12216,0.11508,0.11111,Bari1
Bari1,68,0.12702,0.13112,0.12546,0.17502,0.12947,0.1232,0.12394,0.13179,0.12559,0.13702,0.12789,0.12469,0.12595,0.1251,0.13428,0.12807,0.1271,0.12857,0.12627,0.13183,Bari1
Bari1,70,0.1567,0.11817,0.141,0.12601,0.12997,0.12328,0.13041,0.129,0.10879,0.13956,0.11609,0.13487,0.14091,0.13308,0.1339,0.12592,0.13337,0.1393,0.13188,0.11794,Bari1
Bari1,71,0.1254,0.1188,0.12361,0.1342,0.11889,0.13308,0.13197,0.13297,0.13408,0.12951,0.12267,0.11675,0.12396,0.13276,0.12575,0.12555,0.13637,0.12593,0.1225,0.12625,Bari1
Bari1,72,0.09794,0.10336,0.10841,0.11054,0.12162,0.10043,0.13167,0.09794,0.11188,0.09757,0.08807,0.11706,0.11048,0.10357,0.12978,0.10159,0.10835,0.0871,0.11164,0.11505,Bari1
Bari1,73,0.1247,0.12119,0.13074,0.12367,0.11255,0.12978,0.12325,0.12929,0.12987,0.13057,0.12615,0.12138,0.13004,0.13822,0.12226,0.13028,0.1211,0.12622,0.13571,0.12787,Bari1
Bari1,75,0.10961,0.12507,0.14493,0.12575,0.13532,0.13123,0.12781,0.13015,0.12644,0.11573,0.12081,0.12581,0.10771,0.12632,0.125,0.1025,0.12158,0.13404,0.14757,0.12663,Bari1
Bari1,76,0.14511,0.12059,0.15875,0.18431,0.14649,0.15357,0.15944,0.08587,0.11092,0.13699,0.18984,0.13976,0.15219,0.12905,0.16514,0.09589,0.10988,0.13078,0.14026,0.26911,Bari1
Bari1,77,0.12363,0.12485,0.2469,0.13445,0.15453,0.14895,0.16223,0.20027,0.17461,0.10589,0.18476,0.11883,0.14884,0.05904,0.14839,0.10154,0.12709,0.13869,0.13947,0.13735,Bari1
Bari1,80,0.13584,0.13397,0.14817,0.13955,0.10498,0.12637,0.12226,0.13236,0.15063,0.13312,0.1429,0.1241,0.11722,0.12405,0.1249,0.12092,0.12338,0.14089,0.14884,0.12999,Bari1
Bari1,81,0.08269,0.09342,0.09959,0.08673,0.09263,0.09032,0.08269,0.09737,0.09234,0.08319,0.08174,0.08521,0.09978,0.08381,0.08703,0.10455,0.08813,0.08574,0.09101,0.10106,Bari1
Bari1,82,0.08207,0.09348,0.09032,0.09348,0.09062,0.10509,0.09556,0.08583,0.09145,0.09167,0.09432,0.08624,0.08196,0.09237,0.08386,0.09043,0.09417,0.11106,0.08863,0.08949,Bari1
