"samp","genotypeLabels...3."
"2415_Oyali","Plate_11_Samp_95"
"581_Cermik","Plate_12_Samp_1"
"1962_Karabace","Plate_12_Samp_10"
"399_Bari3","Plate_12_Samp_11"
"364_Bari3","Plate_12_Samp_12"
"2381_Oyali","Plate_12_Samp_13"
"2261_Kesentas","Plate_12_Samp_14"
"1792_Karabace","Plate_12_Samp_15"
"2760_Sarikaya","Plate_12_Samp_16"
"2935_Sirnak","Plate_12_Samp_17"
"1294_Destek","Plate_12_Samp_18"
"2327_Oyali","Plate_12_Samp_19"
"553_Cermik","Plate_12_Samp_2"
"2936_Sirnak","Plate_12_Samp_20"
"453_Besev","Plate_12_Samp_21"
"3025_Sirnak","Plate_12_Samp_22"
"3263_Sirnak","Plate_12_Samp_23"
"2313_Ortan","Plate_12_Samp_24"
"1954_Karabace","Plate_12_Samp_25"
"288_Bari3","Plate_12_Samp_26"
"1333_Destek","Plate_12_Samp_27"
"396_Bari3","Plate_12_Samp_28"
"637_Cudi1","Plate_12_Samp_29"
"2134_Kesantas","Plate_12_Samp_3"
"1444_Egil","Plate_12_Samp_30"
"2098_Kayatape","Plate_12_Samp_31"
"2171_Kesantas","Plate_12_Samp_32"
"1046_Cudi2","Plate_12_Samp_33"
"491_Besev","Plate_12_Samp_34"
"1889_Karabace","Plate_12_Samp_35"
"758_Cudi1","Plate_12_Samp_36"
"1852_Karabace","Plate_12_Samp_37"
"1357_Destek","Plate_12_Samp_38"
"292_Bari3","Plate_12_Samp_39"
"3268_Sirnak","Plate_12_Samp_4"
"2463_Oyali","Plate_12_Samp_40"
"1899_Karabace","Plate_12_Samp_41"
"1151_Derici","Plate_12_Samp_42"
"2703_Sarika","Plate_12_Samp_43"
"738_Cudi1","Plate_12_Samp_44"
"155_Bari2","Plate_12_Samp_45"
"885_Cudi2","Plate_12_Samp_46"
"1683_Karab","Plate_12_Samp_47"
"1587_Kalkan","Plate_12_Samp_48"
"590_Cermik","Plate_12_Samp_49"
"1673_Kalkan","Plate_12_Samp_5"
"2446_Oyali","Plate_12_Samp_50"
"2796_Sarikaya","Plate_12_Samp_51"
"219_Bari3","Plate_12_Samp_52"
"632_Cudi1","Plate_12_Samp_53"
"151_Bari2","Plate_12_Samp_54"
"1231_Destek","Plate_12_Samp_55"
"3227_Sirnak","Plate_12_Samp_56"
"1947_Karabace","Plate_12_Samp_57"
"2629_S2Drd","Plate_12_Samp_58"
"527_Cermik","Plate_12_Samp_59"
"2693_S2Drd","Plate_12_Samp_6"
"1405_Egil","Plate_12_Samp_60"
"495_Besev","Plate_12_Samp_61"
"2030_Karabace","Plate_12_Samp_62"
"3124_Sirnak","Plate_12_Samp_63"
"545_Cermik","Plate_12_Samp_64"
"2406_Oyali","Plate_12_Samp_65"
"2173_Kesantas","Plate_12_Samp_66"
